velocidad_bala,distancia,altura_bala,salto,agachado
-8,164,1,1,0
-8,156,1,1,0
-8,148,1,0,0
-8,140,1,0,0
-8,132,1,0,0
-8,124,1,0,0
-8,116,1,0,0
-8,108,1,0,0
-8,100,1,0,0
-8,92,1,0,0
-8,84,1,0,0
-8,76,1,0,0
-8,68,1,0,0
-8,60,1,0,0
-8,52,1,0,0
-8,44,1,0,0
-8,36,1,0,0
-10,700,0,0,0
-10,690,0,0,0
-10,680,0,0,0
-10,670,0,0,0
-10,660,0,0,0
-10,650,0,0,0
-10,640,0,0,0
-10,630,0,0,0
-10,620,0,1,0
-10,610,0,1,0
-10,600,0,1,0
